date,season,league,home_team,away_team,bet,bet_result,odds,odds_source,model_probability,market_probability,break_even_probability,signal,expected_roi,actual_clv,actual_result,won,stake,profit,signal_label
2023-04-23,2022/23,Ligue 1,Lyon,Marseille,DRAW,D,3.85,Max market,0.2632833090033557,0.25997031872040705,0.2597402597402597,0.00331299028294868,0.013640739662919676,0.018027463633465968,A,False,10.0,-10.0,STANDARD
2023-04-25,2022/23,Premier League,Leeds,Leicester,DRAW,D,3.67,Max market,0.27541198016553425,0.27162174635407055,0.2724795640326976,0.0037902338114637057,0.01076196720751077,-0.002254961038845482,D,True,10.0,26.7,STANDARD
2023-04-25,2022/23,La Liga,Betis,Sociedad,DRAW,D,3.36,Max market,0.30168461051489953,0.29860576579722103,0.2976190476190476,0.003078844717678497,0.013660291330062302,0.009058861766650883,D,True,10.0,23.599999999999998,STANDARD
2023-04-25,2022/23,La Liga,Cadiz,Osasuna,DRAW,D,3.28,Max market,0.30943966071231754,0.3060127723428757,0.3048780487804878,0.0034268883694418273,0.01496208713640157,-0.003246217401304985,A,False,10.0,-10.0,STANDARD
2023-04-27,2022/23,Premier League,Tottenham,Man United,DRAW,D,3.82,Max market,0.26606235152936125,0.26287113228894354,0.2617801047120419,0.0031912192404177087,0.016358182842159952,-0.006472174659957752,D,True,10.0,28.2,STANDARD
2023-04-29,2022/23,Bundesliga,FC Koln,Freiburg,DRAW,D,3.45,Max market,0.29390130446730517,0.2896381488440102,0.2898550724637681,0.00426315562329499,0.013959500412202841,-9.300154162228402e-05,A,False,10.0,-10.0,STANDARD
2023-04-29,2022/23,La Liga,Elche,Vallecano,Vallecano,A,1.92,Max market,0.5280349042958954,0.5236553405454822,0.5208333333333334,0.004379563750413151,0.013827016248119106,-0.04649692452940973,H,False,10.0,-10.0,STANDARD
2023-04-30,2022/23,Ligue 1,Clermont,Reims,DRAW,D,3.66,Max market,0.28045997626395086,0.2775435279720416,0.27322404371584696,0.002916448291909235,0.02648351312606012,-0.005946366996022134,H,False,10.0,-10.0,STANDARD
2023-04-30,2022/23,Premier League,Liverpool,Tottenham,Liverpool,H,1.6,Max market,0.6326545930206686,0.6252012485625102,0.625,0.007453344458158373,0.012247348833069882,-0.0034468156801458205,H,True,10.0,6.000000000000001,STRONG
2023-05-01,2022/23,Premier League,Leicester,Everton,DRAW,D,3.6,Max market,0.2805805913780484,0.27766465194953516,0.2777777777777778,0.002915939428513259,0.010090128960974276,0.0016242871023836036,D,True,10.0,26.0,STANDARD
2023-05-02,2022/23,La Liga,Sociedad,Real Madrid,DRAW,D,3.55,Max market,0.29039197255919724,0.2868497991209327,0.28169014084507044,0.0035421734382645176,0.030891502585150166,0.01625137492836798,H,False,10.0,-10.0,STANDARD
2023-05-03,2022/23,La Liga,Valencia,Villarreal,DRAW,D,3.64,Max market,0.2826061282183741,0.2791270957445127,0.2747252747252747,0.0034790324738613876,0.028686306714881704,0.005656216155383864,D,True,10.0,26.400000000000002,STANDARD
2023-05-03,2022/23,Ligue 1,Brest,Nantes,DRAW,D,3.6,Max market,0.28337632792786144,0.2800479143723797,0.2777777777777778,0.0033284135554817462,0.020154780540301287,0.026403698530846065,H,False,10.0,-10.0,STANDARD
2023-05-06,2022/23,Bundesliga,Hoffenheim,Ein Frankfurt,DRAW,D,3.8,Max market,0.26655305590939704,0.2632323425403804,0.2631578947368421,0.0033207133690166257,0.012901612455708644,-0.008474305211623734,H,False,10.0,-10.0,STANDARD
2023-05-06,2022/23,Serie A,Milan,Lazio,DRAW,D,3.62,Max market,0.2851069199869742,0.2823872757460237,0.27624309392265195,0.002719644240950503,0.032087050352846536,-0.009179992289099326,H,False,10.0,-10.0,STANDARD
2023-05-06,2022/23,Ligue 1,Lens,Marseille,DRAW,D,3.74,Max market,0.27504667735548116,0.2711506202054248,0.267379679144385,0.0038960571500563645,0.028674573309499518,0.008021443803466644,H,False,10.0,-10.0,STANDARD
2023-05-07,2022/23,Ligue 1,Nantes,Strasbourg,DRAW,D,3.5,Max market,0.2888156414311012,0.2852150494541607,0.2857142857142857,0.003600591976940515,0.010854745008854305,0.018250003973636242,A,False,10.0,-10.0,STANDARD
2023-05-07,2022/23,Ligue 1,Auxerre,Clermont,DRAW,D,3.45,Max market,0.29497922149205663,0.2916991643454039,0.2898550724637681,0.0032800571466527484,0.017678314147595353,0.0002812774976311827,D,True,10.0,24.5,STANDARD
2023-05-07,2022/23,Premier League,Newcastle,Arsenal,DRAW,D,3.94,Max market,0.26093920121151254,0.2581060974070433,0.25380710659898476,0.002833103804469217,0.028100452773359486,-0.0002616226457882176,A,False,10.0,-10.0,STANDARD
2023-05-08,2022/23,Premier League,Fulham,Leicester,DRAW,D,3.7,Max market,0.274803914722512,0.27175466136362747,0.27027027027027023,0.003049253358884507,0.016774484473294438,0.015093711221712602,H,False,10.0,-10.0,STANDARD
